conflict_id,conflict_type,severity,normalized_text,entity_types,document_ids,accepted_count,rejected_count,details,recommended_action
3911c036e923,gold_overlapping_entities,medium,viêm gan virus c,"[""CHẨN_ĐOÁN""]","[""88""]",2,0,"Overlapping spans (115, 131) 'Viêm gan virus C' and (115, 136) 'Viêm gan virus C và B'.",review_non_overlapping_boundary_policy
a5a15974f161,review_offset_mismatch,medium,bị ngã trong bồn tắm,[],"[""100""]",0,1,Review candidate 3 does not match its raw-text position.,repair_or_null_review_position
b86ebbb7b35e,review_offset_mismatch,medium,can thiệp x-quang,[],"[""9""]",0,1,Review candidate 3 does not match its raw-text position.,repair_or_null_review_position
2c685ececb6c,review_offset_mismatch,medium,có thể có một tổn thương t2,[],"[""10""]",0,1,Review candidate 2 does not match its raw-text position.,repair_or_null_review_position
2a2f3157634a,review_offset_mismatch,medium,cảm thấy khỏe,[],"[""3""]",0,1,Review candidate 3 does not match its raw-text position.,repair_or_null_review_position
c9c43b04da00,review_offset_mismatch,medium,du lịch,[],"[""17""]",0,1,Review candidate 0 does not match its raw-text position.,repair_or_null_review_position
d7657147691d,review_offset_mismatch,medium,du thuyền,[],"[""17""]",0,1,Review candidate 1 does not match its raw-text position.,repair_or_null_review_position
e64610e6929b,review_offset_mismatch,medium,dòng picc đã đặt,[],"[""66""]",0,1,Review candidate 2 does not match its raw-text position.,repair_or_null_review_position
49d7a6c7461a,review_offset_mismatch,medium,dẫn lưu dịch,[],"[""17""]",0,1,Review candidate 4 does not match its raw-text position.,repair_or_null_review_position
1e504e712576,review_offset_mismatch,medium,ho,[],"[""7""]",0,1,Review candidate 0 does not match its raw-text position.,repair_or_null_review_position
6986a34b7a18,review_offset_mismatch,medium,huyết áp 159/72,[],"[""3""]",0,1,Review candidate 8 does not match its raw-text position.,repair_or_null_review_position
1df18ca86153,review_offset_mismatch,medium,hút 0.5cc dịch mủ,[],"[""17""]",0,1,Review candidate 5 does not match its raw-text position.,repair_or_null_review_position
8e717c3a2484,review_offset_mismatch,medium,hút thuốc,[],"[""3""]",0,1,Review candidate 0 does not match its raw-text position.,repair_or_null_review_position
bc2f154a31f6,review_offset_mismatch,medium,họng,[],"[""38""]",0,1,Review candidate 1 does not match its raw-text position.,repair_or_null_review_position
fc8465368bfd,review_offset_mismatch,medium,khoa cấp cứu,[],"[""17""]",0,1,Review candidate 3 does not match its raw-text position.,repair_or_null_review_position
2a86933e8975,review_offset_mismatch,medium,khám bác sĩ chăm sóc chính,[],"[""17""]",0,1,Review candidate 2 does not match its raw-text position.,repair_or_null_review_position
37e5329bf3c8,review_offset_mismatch,medium,không có triệu chứng trước đó,[],"[""3""]",0,1,Review candidate 2 does not match its raw-text position.,repair_or_null_review_position
b7c6909fe95f,review_offset_mismatch,medium,không thấy giảm đau,[],"[""19""]",0,1,Review candidate 2 does not match its raw-text position.,repair_or_null_review_position
182af9b8127b,review_offset_mismatch,medium,không tuân thủ điều trị bằng thuốc,[],"[""3""]",0,1,Review candidate 1 does not match its raw-text position.,repair_or_null_review_position
3cb5a51eea37,review_offset_mismatch,medium,mạch 83,[],"[""3""]",0,1,Review candidate 7 does not match its raw-text position.,repair_or_null_review_position
e8cc09fa526e,review_offset_mismatch,medium,một số vùng không thể đánh giá tốt,[],"[""10""]",0,1,Review candidate 3 does not match its raw-text position.,repair_or_null_review_position
909eddf38268,review_offset_mismatch,medium,nghi ngờ,[],"[""12""]",0,1,Review candidate 1 does not match its raw-text position.,repair_or_null_review_position
336c0486f205,review_offset_mismatch,medium,nhịp thở 20,[],"[""3""]",0,1,Review candidate 9 does not match its raw-text position.,repair_or_null_review_position
a14e4481f4c3,review_offset_mismatch,medium,nội soi mật tụy ngược dòng,[],"[""5""]",0,1,Review candidate 4 does not match its raw-text position.,repair_or_null_review_position
f627a7c1adf6,review_offset_mismatch,medium,phòng cấp cứu,[],"[""19""]",0,1,Review candidate 3 does not match its raw-text position.,repair_or_null_review_position
04d4012ecd37,review_offset_mismatch,medium,phòng cấp cứu khám và điều trị,[],"[""12""]",0,1,Review candidate 2 does not match its raw-text position.,repair_or_null_review_position
925333b40374,review_offset_mismatch,medium,phẫu thuật mở cắt nối trực tràng/đại tràng sigma,[],"[""16""]",0,1,Review candidate 0 does not match its raw-text position.,repair_or_null_review_position
e2f0a69025c7,review_offset_mismatch,medium,phẫu thuật nội soi cắt bỏ tuyến tiền liệt bên trái,[],"[""99""]",0,1,Review candidate 0 does not match its raw-text position.,repair_or_null_review_position
31c66364f27c,review_offset_mismatch,medium,phẫu thuật sửa van tĩnh mạch chủ ngực bụng,[],"[""21""]",0,1,Review candidate 1 does not match its raw-text position.,repair_or_null_review_position
13325c2e7f8c,review_offset_mismatch,medium,phổi rõ tiếng khi nghe,[],"[""17""]",0,1,Review candidate 6 does not match its raw-text position.,repair_or_null_review_position
d864eecd376e,review_offset_mismatch,medium,quá trình bệnh lý tim phổi cấp tính,[],"[""66""]",0,1,Review candidate 3 does not match its raw-text position.,repair_or_null_review_position
c0d084487616,review_offset_mismatch,medium,quá trình cấp tính,[],"[""100""]",0,1,Review candidate 2 does not match its raw-text position.,repair_or_null_review_position
718d79c5022e,review_offset_mismatch,medium,spo2 độ bão hòa oxy 94-95 ra,[],"[""3""]",0,1,Review candidate 10 does not match its raw-text position.,repair_or_null_review_position
edf959b5abf4,review_offset_mismatch,medium,stent graft động mạch chủ ngực,[],"[""21""]",0,1,Review candidate 0 does not match its raw-text position.,repair_or_null_review_position
ab5b9e5cd57f,review_offset_mismatch,medium,thăm khám chẩn đoán và điều trị,[],"[""4""]",0,1,Review candidate 3 does not match its raw-text position.,repair_or_null_review_position
530fb397ae44,review_offset_mismatch,medium,tim nhịp đều,[],"[""17""]",0,1,Review candidate 7 does not match its raw-text position.,repair_or_null_review_position
a8353f69c402,review_offset_mismatch,medium,truyền dịch,[],"[""100""]",0,1,Review candidate 4 does not match its raw-text position.,repair_or_null_review_position
432600b805a7,review_offset_mismatch,medium,truyền dịch tĩnh mạch 750cc,[],"[""16""]",0,1,Review candidate 1 does not match its raw-text position.,repair_or_null_review_position
4db0194e41aa,review_offset_mismatch,medium,tổn thương cấp tính,[],"[""100""]",0,1,Review candidate 1 does not match its raw-text position.,repair_or_null_review_position
f3de141d814e,review_offset_mismatch,medium,tổn thương này,[],"[""8""]",0,1,Review candidate 1 does not match its raw-text position.,repair_or_null_review_position
94b2632882e7,review_offset_mismatch,medium,xét nghiệm ngoại trú,[],"[""100""]",0,1,Review candidate 0 does not match its raw-text position.,repair_or_null_review_position
cb963c94229f,review_offset_mismatch,medium,xông khí dung,[],"[""16""]",0,1,Review candidate 2 does not match its raw-text position.,repair_or_null_review_position
53dfb68304bc,review_offset_mismatch,medium,đi lại,[],"[""19""]",0,1,Review candidate 1 does not match its raw-text position.,repair_or_null_review_position
107c46e597f2,review_offset_mismatch,medium,điều trị bảo tồn,[],"[""9""]",0,1,Review candidate 1 does not match its raw-text position.,repair_or_null_review_position
2daf5037bc38,review_offset_mismatch,medium,điều trị ngoại khoa,[],"[""9""]",0,1,Review candidate 4 does not match its raw-text position.,repair_or_null_review_position
fdaccd5a3f05,review_offset_mismatch,medium,điều trị nội khoa,[],"[""9""]",0,1,Review candidate 2 does not match its raw-text position.,repair_or_null_review_position
f4643da2a4bc,review_offset_mismatch,medium,đặt catheter động mạch,[],"[""5""]",0,1,Review candidate 7 does not match its raw-text position.,repair_or_null_review_position
1654869cd116,review_offset_mismatch,medium,đặt nội khí quản,[],"[""5""]",0,1,Review candidate 6 does not match its raw-text position.,repair_or_null_review_position
fbd94fe84ff7,review_offset_mismatch,medium,đặt stent,[],"[""38""]",0,1,Review candidate 0 does not match its raw-text position.,repair_or_null_review_position
139d5a928569,review_offset_mismatch,medium,đặt stent đường mật,[],"[""5""]",0,1,Review candidate 5 does not match its raw-text position.,repair_or_null_review_position
85109e1fbb62,review_offset_mismatch,medium,đặt đường truyền tĩnh mạch ngoại vi,[],"[""5""]",0,1,Review candidate 8 does not match its raw-text position.,repair_or_null_review_position
c692b6dde3e5,review_offset_mismatch,medium,đồ uống lạnh,[],"[""38""]",0,1,Review candidate 2 does not match its raw-text position.,repair_or_null_review_position
d56bf79efd65,unstable_policy_evidence,warning,101.4,[],"[""5""]",0,1,Vital sign value; keep review-only until vital sign policy is fixed.,keep_out_of_automatic_runtime_policy
10ba67a93f8f,unstable_policy_evidence,warning,101.8,[],"[""5""]",0,1,Vital sign value; keep review-only until vital sign policy is fixed.,keep_out_of_automatic_runtime_policy
a330fd100f1d,unstable_policy_evidence,warning,39.7 độ c,[],"[""96""]",0,1,Standalone vital sign value remains review-only in strict v0.,keep_out_of_automatic_runtime_policy
7cc7dd06eeb5,unstable_policy_evidence,warning,bệnh đa xơ cứng,[],"[""7""]",0,1,Appears in không điển hình cho context; review separately before deciding negation/uncertainty policy.,keep_out_of_automatic_runtime_policy
584695ccf3e9,unstable_policy_evidence,warning,chẩn đoán cho ảo giác bình thường,[],"[""35""]",0,1,Noisy prior-discharge wording; strict v0 keeps the ảo giác symptom span instead.,keep_out_of_automatic_runtime_policy
